ticket_id,documento,nombre_cliente,email_contacto,fecha_ticket,tipo,satisfaccion
T00001,35699736,Julieta Molina, julieta.molina.58@outlook.com ,2025-02-12,Cambio,4
T00002, 23535325 ,Laura Ramirez,laura.ramirez.12@gmail.com,13/04/2026,Consulta,1
T00003,23535325,Laura Ramirez,laura.ramirez.12@gmail.com,2026-02-07,Entrega,2
T00004,44-232-252,Sebastian Medina, sebastian.medina.32@outlook.com ,2025-08-02,Cambio,N/A
T00005,,Sebastian Medina, sebastian.medina.32@outlook.com ,07-07-25,Consulta,2
T00006,22264345,ROCIO MEDINA,rocio.medina.77@empresa.com.ar,19-01-26,Cambio,3
T00007,23-159-543,Tomas Castro, tomas.castro.62@outlook.com ,05/01/2025,Consulta,3
T00008,23-159-543,Tomás Castro,tomascastro62@outlook.com,26/04/2025,Entrega,4
T00009,23.159.543,Tomas Castro, tomas.castro.62@outlook.com ,2026-08-09,Consulta,2
T00010, 34917667 ,Agustina Sanchez,,09-12-25,Consulta,N/A
T00011,34.917.667,AGUSTINA SANCHEZ,agustinasanchez5@outlook.com,24-11-25,Garantia,
T00012,34.917.667,AGUSTINA SANCHEZ,agustina.sanchez.5@outlook.com,2026-04-08,Consulta,3
T00013,29-814-938,Sebastian Benitez,SEBASTIAN.BENITEZ.52@GMAIL.COM,2025-05-12,Entrega,3
T00014,29-814-938,Sebastian Benitez,sebastian.benitez.52@gmail.com,17-07-26,Garantia,3
T00015,30.387.900,Pablo Paula Flores,pablo.paula.flores.85@hotmail.com,05/08/2025,Consulta,3
T00016,30387900,PABLO PAULA FLORES,pablo.paula.flores.85@hotmail.com,27-05-26,Entrega,2
T00017,30-387-900,PABLO PAULA FLORES,pablo.paula.flores.85@hotmail.com,2025-11-20,Facturacion,2
T00018, 34606750 ,Gonzalo Díaz,gonzalo.diaz.79@hotmail.com,01/05/2026,Entrega,1
T00019,34.606.750,Gonzalo Diaz,gonzalo.diaz.79@hotmail.com,25-05-25,Garantia,4
