venta_id,documento_cliente,cliente,correo,fecha_compra,monto,moneda,canal,cantidad_items
V000001,30387900,Pablo Flores,PABLO.PAULA.FLORES.85@HOTMAIL.COM,2025-07-24,64359.88,ARS,App,2
V000002,30.387.900,Pablo Flores,pablo.paula.flores.85@hotmail.com,09-03-24,111979.68,ARS,App,5
V000003,30-387-900,Pablo Paula Flores,pablo.paula.flores.85@hotmail.com,18/08/2024,16398.76,ARS,Web,2
V000004, 30387900 ,Pablo Paula Flores,pablopaulaflores85@hotmail.com,10/05/2025,13055.74,ARS,Marketplace,2
V000005,27-131-486,Micaela Martinez, micaela.martinez.28@empresa.com.ar ,03/08/2025,13676.59,ARS,App,3
V000006,27.131.486,Micaela Martinez, micaela.martinez.28@empresa.com.ar ,2025-08-11,23382.97,ARS,App,1
V000007,31979558,Carlos N. Benitez, carlos.nicolas.benitez.71@outlook.com ,2024-03-10,50659.51,ARS,App,1
V000008, 31979558 ,Carlos Benitez,carlos.nicolas.benitez.71@outlook.com,04/03/2024,27800.52,ARS,App,2
V000009,31979558,CARLOS NICOLAS BENITEZ, carlos.nicolas.benitez.71@outlook.com ,05-05-26,10761.04,ARS,Tienda,3
V000010, 31979558 ,CARLOS NICOLAS BENITEZ,carlosnicolasbenitez71@outlook.com,2025-07-16,88333.63,ARS,App,2
V000011,31.979.558,Carlos N. Benitez,carlos.nicolas.benitez.71@outlook.com,07/05/2025,37124.28,ARS,Web,2
V000012, 20597611 ,JUAN FLORES,JUAN.FLORES.26@OUTLOOK.COM,2024-04-03,10757.84,ARS,Web,1
V000013, 20597611 ,Juan Flores,juan.flores.26@outlook.com,2025-10-18,69356.32,ARS,App,2
V000014,20597611,Juan Flores,JUAN.FLORES.26@OUTLOOK.COM,25-07-26,22630.36,ARS,Marketplace,3
V000015,20.597.611,JUAN FLORES,juanflores26@outlook.com,05/03/2025,14367.49,ARS,App,2
V000016,20.597.611,Juan Flores,juan.flores.26@outlook.com,2024-11-28,13420.88,ARS,App,1
V000017,33849345,Rocio Pablo Diaz, rocio.pablo.diaz.67@hotmail.com ,05/01/2026,45804.04,ARS,Marketplace,2
V000018, 33849345 ,Rocio Pablo Diaz,rocio.pablo.diaz.67@hotmail.com,02/03/2026,21169.14,ARS,App,2
V000019, 33849345 ,Rocio Pablo Diaz, rocio.pablo.diaz.67@hotmail.com ,30/12/2024,88589.8,ARS,Web,2
V000020,33.849.345,Rocio P. Diaz,ROCIO.PABLO.DIAZ.67@HOTMAIL.COM,03/01/2025,37925.03,ARS,App,6
V000021,33.849.345,ROCIO PABLO DIAZ,ROCIO.PABLO.DIAZ.67@HOTMAIL.COM,16/04/2024,16831.69,ARS,Tienda,1
V000022,33849345,Rocio Pablo Diaz, rocio.pablo.diaz.67@hotmail.com ,2024-12-24,8663.34,ARS,App,3
V000023, 32874715 ,ROCIO SOFIA ACOSTA, rocio.sofia.acosta.60@hotmail.com ,09/02/2025,14101.06,ARS,Web,1
V000024,32.874.715,Rocio S. Acosta, rocio.sofia.acosta.60@hotmail.com ,2024-08-01,9112.68,ARS,App,3
V000025,,ROCIO SOFIA ACOSTA,ROCIO.SOFIA.ACOSTA.60@HOTMAIL.COM,2025-09-14,43941.37,ARS,Tienda,1
V000026,46.369.729,Sebastián Gómez,,27/05/2025,59300.84,ARS,Tienda,1
V000027,46.369.729,Sebastian Gomez,SEBASTIAN.GOMEZ.89@OUTLOOK.COM,21-06-25,13823.15,ARS,Web,1
V000028,46.369.729,Sebastian Gomez,,04-10-25,24840.71,ARS,Web,4
V000029, 46369729 ,Sebastián Gómez,sebastian.gomez.89@outlook.com,22-07-25,57118.36,ARS,Tienda,3
V000030,46.369.729,Sebastián Gómez,SEBASTIAN.GOMEZ.89@OUTLOOK.COM,26/09/2024,29025.51,ARS,Tienda,2
V000031,,Sebastián Gómez, sebastian.gomez.89@outlook.com ,02-03-26,15616.77,ARS,App,4
V000032,46-369-729,Sebastian Gomez,sebastiangomez89@outlook.com,12/02/2024,57282.67,ARS,Marketplace,1
V000033,46369729,Sebastian Gomez,sebastian.gomez.89@outlook.com,2026-05-19,56236.92,ARS,App,3
V000034,46369729,Sebastian Gomez,sebastian.gomez.89@outlook.com,07/02/2024,26134.32,ARS,App,3
V000035,29.261.852,Paula Castro,PAULA.CASTRO.45@GMAIL.COM,2025-07-31,15746.65,ARS,Tienda,2
V000036,,Paula Castro, paula.castro.45@gmail.com ,2024-04-22,52300.15,ARS,App,3
V000037,,Paula Castro,PAULA.CASTRO.45@GMAIL.COM,2025-04-13,76720.01,ARS,Marketplace,2
V000038, 44763264 ,Diego Castro, diego.castro.2@hotmail.com ,04/09/2025,8855.15,ARS,Web,2
V000039,44.763.264,Diego Castro,DIEGO.CASTRO.2@HOTMAIL.COM,2025-08-31,31652.75,ARS,Marketplace,5
V000040,44.763.264,Diego Castro, diego.castro.2@hotmail.com ,19-06-24,20330.58,ARS,App,1
V000041,44.763.264,Diego Castro,diego.castro.2@hotmail.com,16/11/2024,27596.2,ARS,App,1
V000042,30.870.176,CAROLINA FERNANDEZ,CAROLINA.FERNANDEZ.74@GMAIL.COM,2024-12-31,35841.85,ARS,Marketplace,1
V000043, 30870176 ,Carolina Fernandez,,2026-02-16,27773.12,ARS,App,1
V000044, 30870176 ,Carolina Fernandez,CAROLINA.FERNANDEZ.74@GMAIL.COM,2025-06-17,4420.35,ARS,App,3
V000045, 30870176 ,CAROLINA FERNANDEZ,,2025-07-13,19041.1,ARS,App,2
V000046,,JULIETA RODRIGUEZ, julieta.rodriguez.21@gmail.com ,02-06-25,332726.91,ARS,App,3
V000047,42-995-931,Julieta Rodríguez, julieta.rodriguez.21@gmail.com ,26/09/2025,40076.66,ARS,Web,5
V000048,42995931,Julieta Rodriguez, julieta.rodriguez.21@gmail.com ,2024-01-31,399876.28,ARS,Tienda,2
V000049,23.535.325,Laura Ramírez,laura.ramirez.12@gmail.com,30/11/2024,56642.4,ARS,App,2
V000050, 23535325 ,Laura Ramirez,laura.ramirez.12@gmail.com,27/12/2025,59565.99,ARS,App,2
V000051,23535325,Laura Ramirez,LAURA.RAMIREZ.12@GMAIL.COM,2024-12-08,38437.85,ARS,App,2
V000052,23.535.325,Laura Ramirez, laura.ramirez.12@gmail.com ,06-07-25,118.91,USD,Tienda,6
V000053, 23535325 ,Laura Ramirez,laura.ramirez.12@gmail.com,2025-09-27,74070.39,ARS,Web,2
V000054,23.535.325,Laura Ramirez, laura.ramirez.12@gmail.com ,2024-10-15,138389.21,ARS,Marketplace,1
V000055,35192299,Rocio Perez, rocio.natalia.perez.6@outlook.com ,07/04/2026,33329.48,ARS,Tienda,2
V000056,35192299,Rocio Natalia Perez, rocio.natalia.perez.6@outlook.com ,13/01/2025,62547.1,ARS,Tienda,5
V000057,35-192-299,Rocio Natalia Perez,rocio.natalia.perez.6@outlook.com,2025-11-22,59592.76,ARS,Web,3
V000058,28-714-365,LUCIA MARTINEZ,lucia.martinez.36@empresa.com.ar,2025-10-12,31708.53,ARS,App,1
V000059,28-714-365,Lucía Martínez,LUCIA.MARTINEZ.36@EMPRESA.COM.AR,20-04-25,59238.92,ARS,Tienda,3
V000060,,LUCIA MARTINEZ,lucia.martinez.36@empresa.com.ar,18-04-26,380512.92,ARS,App,2
V000061,33526647,Leandro Lopez,LEANDRO.LOPEZ.6@HOTMAIL.COM,2025-08-12,21951.48,ARS,Tienda,1
V000062,33-526-647,Leandro Lopez,,17-03-25,31031.64,ARS,Tienda,4
V000063,46-370-538,Natalia Molina, natalia.molina.47@hotmail.com ,01/06/2026,11376.19,ARS,Web,6
V000064,46-370-538,Natalia Molina, natalia.molina.47@hotmail.com ,2025-09-20,18516.9,ARS,Tienda,5
V000065, 46370538 ,Natalia Molina, natalia.molina.47@hotmail.com ,19/04/2024,10922.53,ARS,Tienda,4
V000066,46.370.538,Natalia Molina,natalia.molina.47@hotmail.com,2025-03-25,24072.84,ARS,Marketplace,1
V000067,46-370-538,Natalia Molina,NATALIA.MOLINA.47@HOTMAIL.COM,21/03/2024,32915.67,ARS,App,1
V000068,23-347-404,Rocío Pérez,ROCIO.PEREZ.86@HOTMAIL.COM,04/04/2024,16421.83,ARS,Tienda,4
V000069,23347404,ROCIO PEREZ, rocio.perez.86@hotmail.com ,14/06/2025,45125.02,ARS,App,1
V000070, 23347404 ,Rocio Perez,ROCIO.PEREZ.86@HOTMAIL.COM,2026-06-11,14661.16,ARS,App,3
V000071,46-449-403,DANIELA FLORES,daniela.flores.74@hotmail.com,2024-02-12,111923.08,ARS,App,1
V000072,46-449-403,Daniela Flores,DANIELA.FLORES.74@HOTMAIL.COM,2025-07-27,99414.64,ARS,Marketplace,4
V000073, 46449403 ,Daniela Flores,daniela.flores.74@hotmail.com,03/03/2024,140193.55,ARS,Marketplace,1
V000074,46.449.403,Daniela Flores,daniela.flores.74@hotmail.com,2024-12-14,236152.2,ARS,Marketplace,4
V000075,,Valentina Lopez,VALENTINA.LOPEZ.62@EMPRESA.COM.AR,20/02/2024,56188.61,ARS,Web,1
V000076,27-491-739,Valentina Lopez,VALENTINA.LOPEZ.62@EMPRESA.COM.AR,2024-12-17,24651.95,ARS,Web,2
V000077,27.491.739,Valentina Lopez,valentina.lopez.62@empresa.com.ar,19/02/2024,33888.89,ARS,Web,2
V000078, 27491739 ,Valentina Lopez,VALENTINA.LOPEZ.62@EMPRESA.COM.AR,13/02/2026,25515.29,ARS,Web,2
V000079, 23159543 ,Tomas Castro,TOMAS.CASTRO.62@OUTLOOK.COM,16/03/2024,23469.18,ARS,Web,2
V000080, 23159543 ,Tomás Castro,TOMAS.CASTRO.62@OUTLOOK.COM,2025-05-31,67884.33,ARS,App,4
V000081,23-159-543,Tomas Castro,tomas.castro.62@outlook.com,24/07/2026,20557.87,ARS,App,5
V000082,23.159.543,TOMAS CASTRO, tomas.castro.62@outlook.com ,2025-02-14,16137.29,ARS,Tienda,1
V000083,36.685.733,Julieta Romero,julieta.romero.61@gmail.com,02-07-26,10066.91,ARS,Tienda,2
V000084,36.685.733,JULIETA ROMERO,JULIETA.ROMERO.61@GMAIL.COM,20/05/2025,26573.89,ARS,Marketplace,2
V000085,36.685.733,Julieta Romero,julieta.romero.61@gmail.com,2025-12-22,38176.74,ARS,Web,2
V000086,42-304-016,Nicolás Silva,NICOLAS.SILVA.22@OUTLOOK.COM,03/05/2024,35161.59,ARS,Marketplace,3
V000087, 42304016 ,Nicolas Silva,nicolassilva22@outlook.com,17-11-25,51098.76,ARS,Web,1
V000088,42-304-016,Nicolás Silva,,24/10/2025,47192.08,ARS,Web,3
V000089,46-014-144,Natalia Perez,NATALIA.PEREZ.88@HOTMAIL.COM,20-10-25,11291.42,ARS,App,3
V000090,49-924-653,Paula Julieta Rodríguez, paula.julieta.rodriguez.42@gmail.com ,13/12/2025,35017.01,ARS,Web,3
V000091, 49924653 ,Paula Julieta Rodríguez, paula.julieta.rodriguez.42@gmail.com ,09-09-25,11100.91,ARS,Web,1
V000092,49924653,Paula Julieta Rodriguez,PAULA.JULIETA.RODRIGUEZ.42@GMAIL.COM,16/05/2024,8804.25,ARS,Tienda,2
V000093,34-744-180,Valentina Sanchez,VALENTINA.SANCHEZ.31@HOTMAIL.COM,17-12-24,26075.94,ARS,Web,4
V000094,34744180,VALENTINA SANCHEZ,valentina.sanchez.31@hotmail.com,2024-07-10,32849.42,ARS,Marketplace,2
V000095,38811809,Leandro Navarro, leandro.navarro.95@empresa.com.ar ,2026-02-17,26075.64,ARS,Tienda,2
V000096,38811809,Leandro Navarro,LEANDRO.NAVARRO.95@EMPRESA.COM.AR,2026-05-10,20073.15,ARS,Tienda,1
V000097,38-811-809,Leandro Navarro,leandro.navarro.95@empresa.com.ar,15-02-25,15726.41,ARS,Marketplace,4
V000098,48.939.160,Matias Alvarez,matias.alvarez.25@hotmail.com,2024-01-26,13275.2,ARS,Web,3
V000099,48-939-160,Matias Alvarez,matias.alvarez.25@hotmail.com,17-11-24,14454.82,ARS,Web,1
V000100, 48939160 ,Matias Alvarez,matiasalvarez25@hotmail.com,09-08-24,100293.75,ARS,Web,3
V000101,48-939-160,Matias Alvarez,MATIAS.ALVAREZ.25@HOTMAIL.COM,18/01/2024,23110.56,ARS,Marketplace,1
V000102,48-939-160,Matías Álvarez, matias.alvarez.25@hotmail.com ,2025-01-12,29695.99,ARS,App,2
V000103,48.939.160,Matias Alvarez,MATIAS.ALVAREZ.25@HOTMAIL.COM,24-02-24,41261.54,ARS,Tienda,1
V000104, 45613818 ,Gonzalo Álvarez, gonzalo.alvarez.47@outlook.com ,18/03/2026,10523.58,ARS,Tienda,2
V000105,45.613.818,GONZALO ALVAREZ,gonzalo.alvarez.47@outlook.com,2024-08-05,25391.46,ARS,App,1
V000106,45-613-818,Gonzalo Alvarez, gonzalo.alvarez.47@outlook.com ,10/04/2024,29854.65,ARS,Marketplace,1
V000107,45.613.818,Gonzalo Alvarez, gonzalo.alvarez.47@outlook.com ,10/06/2025,37932.25,ARS,Web,4
V000108, 45089737 ,Juan Alvarez,juan.alvarez.26@outlook.com,20/09/2024,72344.93,ARS,App,1
V000109, 45089737 ,Juan Alvarez,juan.alvarez.26@outlook.com,19/01/2026,28313.45,ARS,Web,1
V000110,45-089-737,JUAN ALVAREZ,juanalvarez26@outlook.com,2025-03-03,62054.06,ARS,Marketplace,2
V000111,40-836-181,DANIELA ACOSTA, daniela.acosta.16@empresa.com.ar ,15-08-26,26298.72,ARS,Marketplace,4
