Fecha,Vendedor,Sede,Rubro,Marca,Importe,Comision_x_venta,Fecha_Venta,Satisfaccion_Cliente,Prioridad_Pedido,Fecha_Venta_Respaldo
10/02/2022,Juliet Glynne,Paternal,Equipos De Video,Wacom,381291.0,17243,2026-05-10,1,1,2026/05/10
17/02/2022,Mufi Panchin,Ezeiza,Notebook,Samsung,111535.0,16691,,3,2,12-05-2026
14/04/2022,Constantine Creeber,Villa Bosch,Equipos De Video,Kensington,418512.0,20934,2026-05-15,3,3,2026/05/15
23/03/2022,Pennie Hess,Palermo,Tv,Engel,236222.0,17952,,4,1,18-05-2026
28/03/2022,Timmy Ashlin,Villa Crespo,Electrodomésticos,Kensington,266683.0,18070,2026-05-10,2,2,2026/05/10
14/02/2022,Mufi Panchin,Villa Crespo,Equipos De Video,Nord,450000.0,23521,,2,3,12-05-2026
13/03/2022,Pennie Hess,Paternal,Pc Armada,Millenium,429052.0,18021,2026-05-15,4,1,2026/05/15
29/01/2022,Cecil Apted,Ezpeleta,Equipos De Video,Nord,117378.0,22222,,5,2,18-05-2026
21/05/2022,Cecil Apted,Paternal,Tv,Samsonite,120941.0,17633,,1,1,12-05-2026
12/01/2022,Constantine Creeber,Villa Bosch,Equipos De Audio,Trust,373947.0,20175,2026-05-15,3,2,2026/05/15
04/04/2022,Pennie Hess,San Martín,Tv,Kensington,433778.0,21223,,2,3,18-05-2026
31/03/2022,Ursuline Castilla,Recoleta,Tv,Wacom,436451.0,18792,2026-05-10,4,1,2026/05/10
23/03/2022,Arvin Bernhardi,Ezeiza,Notebook,Wacom,228947.0,19225,,4,2,12-05-2026
28/03/2022,Barde Benoist,Recoleta,Pc Armada,Wacom,415619.0,19489,2026-05-15,5,3,2026/05/15
15/06/2022,Barde Benoist,Chacarita,Pc Armada,Kensington,351072.0,22803,,5,1,18-05-2026
25/04/2022,Pennie Hess,Floresta,Tv,Startech,307800.0,20638,2026-05-10,2,2,2026/05/10
06/01/2022,Em Edmonson,Avellaneda,Equipos De Video,Belkin,237048.0,18998,,5,3,12-05-2026
12/06/2022,Mufi Panchin,Paternal,Equipos De Video,Synology,123809.0,24915,2026-05-15,5,1,2026/05/15
12/04/2022,Christel Zambonini,Ezeiza,Notebook,Vodafone,373789.0,16643,,4,2,18-05-2026
10/02/2022,Dallis Beefon,Ezpeleta,Notebook,LG,303478.0,25039,2026-05-10,1,3,2026/05/10
24/05/2022,Barde Benoist,Villa Soldati,Tv,Engel,140042.0,23773,,5,1,12-05-2026
03/05/2022,Arvin Bernhardi,Ezpeleta,Equipos De Audio,Access,199369.0,19987,2026-05-15,5,2,2026/05/15
20/04/2022,Arvin Bernhardi,Villa Crespo,Electrodomésticos,Huawei,405254.0,19457,,2,3,18-05-2026
25/03/2022,Pennie Hess,Villa Crespo,Notebook,Access,411973.0,22624,2026-05-10,2,1,2026/05/10
04/06/2022,Timmy Ashlin,Ezpeleta,Electrodomésticos,Millenium,126234.0,17707,,5,2,12-05-2026
22/02/2022,Em Edmonson,Boedo,Electrodomésticos,Kensington,458417.0,19182,2026-05-15,4,3,2026/05/15
01/01/2022,Cecil Apted,Paternal,Tv,Samsonite,403656.0,18409,,2,1,18-05-2026
16/04/2022,Em Edmonson,Boedo,Tv,Millenium,393651.0,16621,2026-05-10,1,2,2026/05/10
15/05/2022,Constantine Creeber,Villa Bosch,Equipos De Video,LG,268465.0,23117,,5,3,12-05-2026
26/03/2022,Timmy Ashlin,Avellaneda,Equipos De Video,Samsung,127172.0,17334,2026-05-15,1,1,2026/05/15
22/05/2022,Dorotea Brandolini,Chacarita,Electrodomésticos,Samsung,184064.0,17813,,1,2,18-05-2026
05/04/2022,Humfried Woodberry,Avellaneda,Equipos De Audio,Kensington,112900.0,18826,2026-05-10,1,3,2026/05/10
28/03/2022,Barde Benoist,Villa Crespo,Tv,LG,117317.0,18603,,5,1,12-05-2026
14/05/2022,Dallis Beefon,Villa Soldati,Notebook,Digitus,175575.0,19406,2026-05-15,2,2,2026/05/15
